station_id,name,lat,lon
398,Atlantic Ave & Furman St,40.6917,-74
470,W 20 St & 8 Ave,40.7435,-74
263,Elizabeth St & Hester St,40.7173,-73.9964
3050,Putnam Ave & Throop Ave,40.6852,-73.9411
3565,36 Ave & 10 St,40.7614,-73.9411
444,Broadway & W 24 St,40.7424,-73.9892
3641,Broadway & W 25 St,40.7429,-73.9892
3306,10 St & 7 Ave,40.6662,-73.982
519,E 42 St & Vanderbilt Ave,40.7524,-73.9784
3365,3 St & 7 Ave,40.6704,-73.9784
3458,W 55 St & 6 Ave,40.7631,-73.9784
438,St Marks Pl & 1 Ave,40.7278,-73.9856
3166,Riverside Dr & W 72 St,40.7806,-73.9856
3166,Riverside Dr & W 72 St ,40.7806,-73.9856
3358,Garfield Pl & 8 Ave,40.6712,-73.9748
3468,NYCBS Depot - STY - Garage 4,40.7304,-73.9748
501,FDR Drive & E 35 St,40.7442,-73.9712
2017,E 43 St & 2 Ave,40.7502,-73.9712
3257,Adventures NYC,40.7738,-73.9712
464,E 56 St & 3 Ave,40.7593,-73.9676
3146,E 81 St & 3 Ave,40.7757,-73.9568
3149,E 82 St & 2 Ave,40.7752,-73.9532
3511,Adam Clayton Powell Blvd & W 115 St,40.8025,-73.9532
3649,W 129 St & Convent Ave,40.8144,-73.9532
3348,Coffey St & Conover St,40.6772,-74.0157
3120,Center Blvd & Borden Ave,40.7416,-73.9604
3120,Center Blvd & Borden Ave,40.7416,-73.9604
3290,E 89 St & York Ave,40.7779,-73.946
3424,E 106 St & Lexington Ave,40.792,-73.946
3097,N Henry St & Richardson St,40.7192,-73.9424
3330,Henry St & Bay St,40.6725,-74.0049
3561,37 Ave & 35 St,40.7531,-73.928
233,Cadman Plaza W & Pierrepont St,40.6948,-73.9905
314,Cadman Plaza West & Montague St,40.6938,-73.9905
530,11 Ave & W 59 St,40.7715,-73.9905
297,E 15 St & 3 Ave,40.7342,-73.9869
423,W 54 St & 9 Ave,40.7658,-73.9869
3602,31 Ave & 34 St,40.7632,-73.9208
349,Rivington St & Ridge St,40.7185,-73.9833
298,3 Ave & Schermerhorn St,40.6868,-73.9797
476,E 31 St & 3 Ave,40.7439,-73.9797
507,E 25 St & 2 Ave,40.7391,-73.9797
527,E 33 St & 2 Ave,40.744,-73.9761
3016,Kent Ave & N 7 St,40.7204,-73.9617
258,DeKalb Ave & Vanderbilt Ave,40.6894,-73.9689
366,Clinton Ave & Myrtle Ave,40.6933,-73.9689
3253,Bike The Branches - Central Branch,40.6728,-73.9689
3036,8D OPS 01,40.518,-74.0314
389,Broadway & Berry St,40.7104,-73.9653
3134,3 Ave & E 62 St,40.7631,-73.9653
3124,46 Ave & 5 St,40.7473,-73.9545
3182,Yankee Ferry Terminal,40.6869,-74.017
372,Franklin Ave & Myrtle Ave,40.6945,-73.9581
3055,Greene Ave & Nostrand Ave,40.6883,-73.9509
3121,Jackson Ave & 46 Rd,40.7452,-73.9473
3327,3 Ave & E 100 St,40.7877,-73.9473
3586,34 Ave & 13 St,40.7639,-73.9365
3061,Throop Ave & Myrtle Ave,40.6962,-73.9437
3067,Broadway & Whipple St,40.7017,-73.9437
3425,2 Ave  & E 104 St,40.7892,-73.9437
3425,2 Ave & E 104 St,40.7892,-73.9437
346,Bank St & Hudson St,40.7365,-74.0062
284,Greenwich Ave & 8 Ave,40.739,-74.0026
3441,10 Hudson Yards,40.753,-74.0026
3242,Schermerhorn St & Court St,40.691,-73.9918
3515,24 Ave & 26 St,40.7746,-73.9185
324,DeKalb Ave & Hudson Ave,40.6899,-73.981
174,E 25 St & 1 Ave,40.7382,-73.9774
3049,Cambridge Pl & Gates Ave,40.6849,-73.963
3538,W 110 St & Amsterdam Ave,40.8027,-73.963
3528,Steinway St & 23 Ave,40.7714,-73.9077
396,Lefferts Pl & Franklin Ave,40.6803,-73.9558
3282,5 Ave & E 88 St,40.7831,-73.9594
3309,E 97 St & 3 Ave,40.7859,-73.9486
3554,Vernon Blvd & 41 Rd,40.7552,-73.9486
347,W Houston St & Hudson St,40.7287,-74.0075
3472,W 15 St & 10 Ave,40.7428,-74.0075
3286,E 89 St & 3 Ave,40.7806,-73.9522
3041,Kingston Ave & Herkimer St,40.6789,-73.9414
383,Greenwich Ave & Charles St,40.7352,-74.0003
3575,Crescent St & 34 Ave,40.7611,-73.9306
3610,Vernon Blvd & 30 Rd,40.7708,-73.9342
3245,NYCBS DEPOT - DELANCEY,40.7164,-73.9823
3360,Amsterdam Ave & W 79 St,40.7829,-73.9787
3361,Carroll St & 6 Ave,40.6741,-73.9787
3526,31 St & 23 Ave,40.7748,-73.9126
3136,5 Ave & E 63 St,40.7665,-73.9715
3136,5 Ave & E 63 St,40.7664,-73.9715
3016,Mobile 01,40.7711,-73.9643
3139,E 72 St & Park Ave,40.7712,-73.9643
3143,5 Ave & E 78 St,40.7763,-73.9643
3302,Columbus Ave & W 103 St,40.7969,-73.9643
3362,Madison Ave & E 82 St,40.7781,-73.9607
3539,W 116 St & Amsterdam Ave,40.8068,-73.9607
3553,Frederick Douglass Blvd & W 112 St,40.8017,-73.9571
3060,Willoughby Ave & Tompkins Ave,40.6943,-73.9463
3352,Sigourney St & Columbia St,40.6727,-74.0088
3140,1 Ave & E 78 St,40.7714,-73.9535
3156,E 72 St & York Ave,40.7666,-73.9535
3611,Vernon Blvd & 47 Rd,40.7449,-73.9535
3020,NYCBS Test,40.6466,-74.016
3237,21 St & 41 Ave,40.7538,-73.9427
458,11 Ave & W 27 St,40.7514,-74.0052
3559,21 St & 38 Ave,40.7576,-73.9391
3567,11 St & 35 Ave,40.7627,-73.9391
3311,Columbia St & Kane St,40.6876,-74.0016
3653,31 St & 35 Ave,40.7582,-73.9283
293,Lafayette St & E 8 St,40.7303,-73.9908
3263,Cooper Square & Astor Pl,40.7295,-73.9908
3332,Degraw St & Hoyt St,40.682,-73.9908
3609,Vernon Blvd & 31 Ave,40.7692,-73.9355
254,W 11 St & 6 Ave,40.7353,-73.998
3303,Butler St & Court St,40.685,-73.9944
261,Johnson St & Gold St,40.6947,-73.9836
3178,Riverside Dr & W 78 St,40.7841,-73.9836
392,Jay St & Tech Pl,40.6951,-73.9872
533,Broadway & W 39 St,40.753,-73.9872
533,Broadway & W 38 St,40.753,-73.9872
393,E 5 St & Avenue C,40.723,-73.98
3300,Prospect Park West & 8 St,40.6651,-73.9764
275,Washington Ave & Greene Ave,40.6865,-73.9656
440,E 45 St & 3 Ave,40.7526,-73.9728
3170,W 84 St & Columbus Ave,40.785,-73.9728
397,Fulton St & Clermont Ave,40.6842,-73.9692
3438,E 76 St & 3 Ave,40.7722,-73.9584
3379,E 103 St & Lexington Ave,40.7903,-73.9476
3340,Wolcott St & Dwight St,40.6753,-74.0101
3436,Greenwich St & Hubert St,40.7213,-74.0101
3101,N 12 St & Bedford Ave,40.7208,-73.9548
3372,E 74 St & 1 Ave,40.769,-73.9548
380,W 4 St & 7 Ave S,40.734,-74.0029
