,id,name,pagerank,lat,lon
79,329,Greenwich St & North Moore St,1.81027473086413,40.7202,-74.0104
83,412,Forsyth St & Canal St,1.80745085724664,40.7158,-73.9942
84,251,Mott St & Prince St,1.80381228049138,40.7232,-73.9948
85,437,Macon St & Nostrand Ave,1.80177232020234,40.681,-73.95
86,3349,Grand Army Plaza & Plaza St West,1.79542859112267,40.673,-73.9709
87,3126,44 Dr & Jackson Ave,1.78078115504117,40.7472,-73.9433
88,3142,1 Ave & E 62 St,1.77776946569291,40.7612,-73.9609
622,3593,31 St & Broadway,1.77532147683431,40.7616,-73.9259
623,3516,31 St & Astoria Blvd,1.7724995679984,40.7699,-73.9184
624,498,Broadway & W 32 St,1.76815969439925,40.7485,-73.9881
625,157,Henry St & Atlantic Ave,1.75917475291092,40.6909,-73.9961
626,3526,31 St & 23 Ave,1.75889041707527,40.7748,-73.9126
89,442,W 27 St & 7 Ave,1.75060934664503,40.7466,-73.9939
90,401,Allen St & Rivington St,1.74662286958052,40.7202,-73.99
91,3429,Hanson Pl & Ashland Pl,1.73906146873346,40.6851,-73.9779
92,507,E 25 St & 2 Ave,1.73358734186542,40.7391,-73.9797
627,391,Clark St & Henry St,1.73338447111503,40.6976,-73.9934
628,161,LaGuardia Pl & W 3 St,1.73158124652585,40.7292,-73.9981
629,3374,Central Park North & Adam Clayton Powell Blvd,1.72716452220956,40.7995,-73.9556
630,3107,Bedford Ave & Nassau Ave,1.71786320996021,40.7231,-73.9521
631,509,9 Ave & W 22 St,1.71349289097563,40.7455,-74.002
93,3137,5 Ave & E 73 St,1.70310107350751,40.7728,-73.9669
94,237,E 11 St & 2 Ave,1.69990819965246,40.7305,-73.9867
95,375,Mercer St & Bleecker St,1.69495359472278,40.7268,-73.997
99,3165,Central Park West & W 72 St,1.69295753192124,40.7758,-73.976
101,445,E 10 St & Avenue A,1.68961546916689,40.7274,-73.9814
102,528,2 Ave & E 31 St,1.68060672605264,40.7429,-73.9771
103,529,W 42 St & 8 Ave,1.67804145124412,40.7576,-73.991
104,3140,1 Ave & E 78 St,1.65972570883442,40.7714,-73.9535
105,450,W 49 St & 8 Ave,1.64702246394028,40.7623,-73.9879
106,236,St Marks Pl & 2 Ave,1.64465636732021,40.7284,-73.9871
107,3182,Yankee Ferry Terminal,1.64334952918451,40.6869,-74.017
108,410,Suffolk St & Stanton St,1.64332439960617,40.7207,-73.9852
632,461,E 20 St & 2 Ave,1.63887538327214,40.7359,-73.9821
633,462,W 22 St & 10 Ave,1.63597707418922,40.7469,-74.0045
634,406,Hicks St & Montague St,1.63498841568135,40.6951,-73.996
635,465,Broadway & W 41 St,1.63073389511597,40.7551,-73.9866
636,486,Broadway & W 29 St,1.62654855791889,40.7462,-73.9886
637,466,W 25 St & 6 Ave,1.62626554417009,40.744,-73.9914
638,297,E 15 St & 3 Ave,1.62447111707543,40.7342,-73.9869
639,427,State St,1.62292302823959,40.7025,-74.0143
643,3166,Riverside Dr & W 72 St,1.61749925469389,40.7806,-73.9856
647,380,W 4 St & 7 Ave S,1.61096603780757,40.734,-74.0029
648,496,E 16 St & 5 Ave,1.61069307829034,40.7373,-73.9924
649,491,E 24 St & Park Ave S,1.6104421437729,40.741,-73.986
650,385,E 55 St & 2 Ave,1.60739196820223,40.758,-73.966
651,484,W 44 St & 5 Ave,1.59983746901381,40.755,-73.9801
652,531,Forsyth St & Broome St,1.59745130868747,40.7189,-73.9927
653,274,Lafayette Ave & Fort Greene Pl,1.59703652145827,40.6869,-73.9767
109,3168,Central Park West & W 85 St,1.58700816442861,40.7847,-73.9696
110,3167,Amsterdam Ave & W 73 St,1.5789347949354,40.7797,-73.9809
111,304,Broadway & Battery Pl,1.57357261234442,40.7046,-74.0136
112,458,11 Ave & W 27 St,1.5735588823679,40.7514,-74.0052
113,2022,E 60 St & York Ave,1.57212136878126,40.7585,-73.9592
654,483,E 12 St & 3 Ave,1.57030006092915,40.7322,-73.9889
655,3164,Columbus Ave & W 72 St,1.56385224882529,40.7771,-73.979
656,474,5 Ave & E 29 St,1.56008553193194,40.7452,-73.9868
657,488,W 39 St & 9 Ave,1.55626235473216,40.7565,-73.9937
117,300,Shevchenko Pl & E 6 St,1.55001386864266,40.7281,-73.9902
121,494,W 26 St & 8 Ave,1.54977729718338,40.7473,-73.9972
122,361,Allen St & Hester St,1.54371782958849,40.7161,-73.9919
123,526,E 33 St & 5 Ave,1.54199405272827,40.7477,-73.9849
124,301,E 2 St & Avenue B,1.53739256755092,40.7222,-73.9837
125,3156,E 72 St & York Ave,1.53217790117073,40.7666,-73.9535
126,414,Pearl St & Anchorage Pl,1.52746825945265,40.7028,-73.9877
127,307,Canal St & Rutgers St,1.51871406723987,40.7143,-73.9899
658,482,W 15 St & 7 Ave,1.51308298643321,40.7394,-73.9993
659,116,W 17 St & 8 Ave,1.5091768426148,40.7418,-74.0015
660,546,E 30 St & Park Ave S,1.50156724838777,40.7444,-73.983
661,3086,Graham Ave & Conselyea St,1.49484817338638,40.7151,-73.9445
662,428,E 3 St & 1 Ave,1.48967860529623,40.7247,-73.9878
663,348,W Broadway & Spring St,1.48848085280471,40.7249,-74.0015
664,3418,Plaza St West & Flatbush Ave,1.48387573212465,40.675,-73.9711
665,195,Liberty St & Broadway,1.47974059495451,40.7091,-74.0104
666,167,E 39 St & 3 Ave,1.47929764201381,40.7489,-73.976
128,270,Adelphi St & Myrtle Ave,1.47723394972859,40.6931,-73.9718
129,545,E 23 St & 1 Ave,1.47704975344356,40.7365,-73.9781
130,500,Broadway & W 51 St,1.47262386987441,40.7623,-73.9834
131,282,Kent Ave & S 11 St,1.47068257069857,40.7076,-73.9684
133,3092,Berry St & N 8 St,1.46383406955323,40.719,-73.9585
134,3113,Greenpoint Ave & Manhattan Ave,1.45699413141663,40.7303,-73.9539
135,345,W 13 St & 6 Ave,1.45620604489208,40.7365,-73.997
136,530,11 Ave & W 59 St,1.45120975266494,40.7715,-73.9905
137,389,Broadway & Berry St,1.45008229668491,40.7104,-73.9653
667,334,W 20 St & 7 Ave,1.4441222572461,40.7424,-73.9973
668,268,Howard St & Centre St,1.44269255889048,40.7191,-73.9997
669,441,E 52 St & 2 Ave,1.44188064015551,40.756,-73.9674
670,536,1 Ave & E 30 St,1.43421492959448,40.7414,-73.9754
671,433,E 13 St & Avenue A,1.43372695945405,40.7296,-73.9806
672,3143,5 Ave & E 78 St,1.43054330470763,40.7763,-73.9643
674,326,E 11 St & 1 Ave,1.4297479281823,40.7295,-73.9843
675,476,E 31 St & 3 Ave,1.42525615516199,40.7439,-73.9797
676,239,Willoughby St & Fleet St,1.41853285938068,40.692,-73.9813
138,233,Joralemon St & Adams St,1.41744258069387,40.6948,-73.9905
142,453,W 22 St & 8 Ave,1.4167603587278,40.7448,-73.9992
143,3158,W 63 St & Broadway,1.41388002450655,40.7716,-73.9826
144,405,Washington St & Gansevoort St,1.41367486299065,40.7393,-74.0081
145,265,Stanton St & Chrystie St,1.4076694686465,40.7223,-73.9915
146,503,E 20 St & Park Ave,1.40594609699383,40.7383,-73.9875
147,3318,2 Ave & E 96 St,1.39808863835712,40.784,-73.9472
148,501,FDR Drive & E 35 St,1.3980768529013,40.7442,-73.9712
677,147,Greenwich St & Warren St,1.39475491781169,40.7154,-74.0112
678,515,W 43 St & 10 Ave,1.39351338048441,40.7601,-73.9946
679,395,Bond St & Schermerhorn St,1.39350510644635,40.6881,-73.9841
680,478,11 Ave & W 41 St,1.39303670150611,40.7603,-73.9988
149,469,Broadway & W 53 St,1.38427721531339,40.7634,-73.9827
150,2021,W 45 St & 8 Ave,1.37377662882232,40.7593,-73.9886
151,258,DeKalb Ave & Vanderbilt Ave,1.37070948536535,40.6894,-73.9689
152,396,Lefferts Pl & Franklin Ave,1.35708595355815,40.6803,-73.9558
153,212,W 16 St & The High Line,1.3515206640409,40.7433,-74.0068
681,481,S 3 St & Bedford Ave,1.3515146676457,40.7126,-73.9626
682,439,E 4 St & 2 Ave,1.34509663122818,40.7263,-73.9898
683,3425,2 Ave & E 104 St,1.34480420113516,40.7892,-73.9437
687,471,Grand St & Havemeyer St,1.34238778151192,40.7129,-73.957
688,243,Fulton St & Rockwell Pl,1.34236395179335,40.688,-73.9785
690,3254,Soissons Landing,1.33826728977486,40.6923,-74.0149
691,336,Sullivan St & Washington Sq,1.33747071564813,40.7305,-73.9991
692,447,8 Ave & W 52 St,1.33490718806407,40.7637,-73.9852
492,164,E 47 St & 2 Ave,1.33353729212072,40.7532,-73.9703
493,485,W 37 St & 5 Ave,1.33295997050571,40.7504,-73.9834
494,3236,PABT Valet,1.31795077174341,40.759,-73.9938
498,261,Johnson St & Gold St,1.31648226530241,40.6947,-73.9836
154,3108,Nassau Ave & Russell St,1.3163711446967,40.7256,-73.9443
155,3125,45 Rd & 11 St,1.3138312716689,40.7471,-73.9498
156,438,St Marks Pl & 1 Ave,1.31243816246349,40.7278,-73.9856
157,434,9 Ave & W 18 St,1.31118801366888,40.7432,-74.0037
693,244,Willoughby Ave & Hall St,1.31025957988443,40.692,-73.9654
694,3398,Smith St & 9 St,1.30814518031604,40.6747,-73.9979
695,473,Rivington St & Chrystie St,1.30790463476292,40.7211,-73.9919
696,3110,Meserole Ave & Manhattan Ave,1.30729040133739,40.7271,-73.953
697,72,W 52 St & 11 Ave,1.30188348329527,40.7673,-73.9939
158,388,W 26 St & 10 Ave,1.30084645669551,40.7497,-74.003
159,363,West Thames St,1.29960618569763,40.7083,-74.0171
160,241,DeKalb Ave & S Portland Ave,1.29136908691076,40.6898,-73.9749
161,2008,Little West St & 1 Pl,1.29112316318441,40.7057,-74.0168
698,313,Washington Ave & Park Ave,1.28754151802739,40.6961,-73.9675
699,448,W 37 St & 10 Ave,1.28491243162846,40.7566,-73.9979
700,524,W 43 St & 6 Ave,1.2827949498676,40.7553,-73.9832
701,153,E 40 St & 5 Ave,1.27867179659313,40.7521,-73.9816
702,3074,Montrose Ave & Bushwick Ave,1.27836774506513,40.7077,-73.9402
162,3382,Carroll St & Smith St,1.27135857366375,40.6806,-73.9948
163,335,Washington Pl & Broadway,1.2679912906157,40.729,-73.994
164,3118,McGuinness Blvd & Eagle St,1.26736302641936,40.7356,-73.9528
165,355,Bayard St & Baxter St,1.26620674455966,40.716,-73.9997
703,317,E 6 St & Avenue B,1.26347102304797,40.7245,-73.9819
704,315,South St & Gouverneur Ln,1.26053561545909,40.7036,-74.0067
705,390,Duffield St & Willoughby St,1.25970930473478,40.6922,-73.9843
706,3368,5 Ave & 3 St,1.25957684184657,40.6728,-73.9835
707,392,Jay St & Tech Pl,1.25634375089787,40.6951,-73.9872
166,487,E 20 St & FDR Drive,1.24644756280387,40.7331,-73.9757
167,511,E 14 St & Avenue B,1.24639166922966,40.7294,-73.9777
168,495,W 47 St & 10 Ave,1.24260541779784,40.7627,-73.993
169,3115,India St & Manhattan Ave,1.24078372630616,40.7323,-73.9551
708,440,E 45 St & 3 Ave,1.23941099933419,40.7526,-73.9728
709,3159,W 67 St & Broadway,1.23759089117915,40.7749,-73.9827
710,2003,1 Ave & E 18 St,1.2347759594336,40.7342,-73.9802
712,3130,21 St & Queens Plaza North,1.23289893755303,40.7533,-73.9434
713,3232,Bond St & Fulton St,1.22447447573495,40.6896,-73.983
170,3255,8 Ave & W 31 St,1.22088304720655,40.7506,-73.9947
171,522,E 51 St & Lexington Ave,1.21893750013186,40.7571,-73.9721
172,470,W 20 St & 8 Ave,1.21794986318819,40.7435,-74
173,377,6 Ave & Canal St,1.21618487027351,40.7224,-74.0057
174,3383,Cathedral Pkwy & Broadway,1.21491993360029,40.8042,-73.967
714,508,W 46 St & 11 Ave,1.21491120584287,40.7634,-73.9967
715,365,Fulton St & Grand Ave,1.21299792019818,40.6822,-73.9615
716,383,Greenwich Ave & Charles St,1.21031522837608,40.7352,-74.0003
717,3163,Central Park West & W 68 St,1.20482513830148,40.7734,-73.9778
175,257,Lispenard St & Broadway,1.20111597358857,40.7194,-74.0025
176,386,Centre St & Worth St,1.19942651308922,40.7149,-74.0023
177,3282,5 Ave & E 88 St,1.19401243298484,40.7831,-73.9594
178,456,E 53 St & Madison Ave,1.19283989514674,40.7597,-73.974
179,3285,W 87 St  & Amsterdam Ave,1.18679874060484,40.7884,-73.9747
183,416,Cumberland St & Lafayette Ave,1.18597067206558,40.6875,-73.9727
184,344,Monroe St & Bedford Ave,1.17975647172086,40.6851,-73.9538
185,3116,Huron St & Franklin St,1.17939856855592,40.7327,-73.9583
186,174,E 25 St & 1 Ave,1.17879156125746,40.7382,-73.9774
187,325,E 19 St & 3 Ave,1.17502258258895,40.7362,-73.9847
188,321,Cadman Plaza E & Red Cross Pl,1.17343391059312,40.6999,-73.9897
189,346,Bank St & Hudson St,1.168135086706,40.7365,-74.0062
190,480,W 53 St & 10 Ave,1.16764063122663,40.7667,-73.9906
191,303,Mercer St & Spring St,1.1646036021867,40.7236,-73.9995
192,3064,Myrtle Ave & Lewis Ave,1.16125573371412,40.6968,-73.9376
193,3242,Schermerhorn St & Court St,1.15699304397971,40.691,-73.9918
194,2012,E 27 St & 1 Ave,1.15625299105715,40.7394,-73.9768
195,2010,Grand St & Greene St,1.150728806658,40.7217,-74.0023
196,353,S Portland Ave & Hanson Pl,1.14944687274906,40.6854,-73.9743
197,3373,3 St & 3 Ave,1.14692796634777,40.6751,-73.9878
198,3416,7 Ave & Park Pl,1.14627606149054,40.6776,-73.9732
199,3233,E 48 St & 5 Ave,1.14595461003137,40.7572,-73.9781
718,311,Norfolk St & Broome St,1.14441648778874,40.7172,-73.988
719,422,W 59 St & 10 Ave,1.14400927823022,40.7705,-73.988
720,3087,Metropolitan Ave & Meeker Ave,1.13694822385436,40.7141,-73.9523
721,352,W 56 St & 6 Ave,1.13607959210853,40.7634,-73.9772
200,3305,E 91 St & 2 Ave,1.13591853067731,40.7811,-73.9497
201,455,1 Ave & E 44 St,1.13585851775894,40.75,-73.9691
202,354,Emerson Pl & Myrtle Ave,1.12921736214008,40.6936,-73.9622
203,3197,Hs Don't Use,1.12401962372509,40.7193,-74.0342
204,3346,Berkeley Pl & 7 Ave,1.12318579813314,40.6751,-73.9752
722,3354,3 St & Prospect Park West,1.11980130571325,40.6681,-73.9736
723,3111,Norman Ave & Leonard St - 2,1.11902331066353,40.7258,-73.9506
727,3402,Court St & State St,1.11838817743477,40.6902,-73.992
205,228,E 48 St & 3 Ave,1.11663096921493,40.7546,-73.9719
206,415,Pearl St & Hanover Square,1.11523141409003,40.7047,-74.0093
207,309,Murray St & West St,1.11383324908126,40.715,-74.013
208,3351,E 102 St & 1 Ave,1.11255556144,40.787,-73.9416
209,418,Front St & Gold St,1.10566793887798,40.7022,-73.9826
728,306,Cliff St & Fulton St,1.10551998131373,40.7082,-74.0053
729,364,Lafayette Ave & Classon Ave,1.10511587003216,40.689,-73.9602
730,296,Division St & Bowery,1.10387789010391,40.7141,-73.997
731,350,Clinton St & Grand St,1.09025721244017,40.7156,-73.987
210,3602,31 Ave & 34 St,1.08886401910316,40.7632,-73.9208
211,3170,W 84 St & Columbus Ave,1.08796196949846,40.785,-73.9728
212,3488,8D QC Station 01,1.08648024429101,45.5064,-73.5695
213,394,E 9 St & Avenue C,1.08491379984568,40.7252,-73.9777
214,3106,Driggs Ave & N Henry St,1.08430928355755,40.7233,-73.9431
732,3096,Union Ave & N 12 St,1.08395427197253,40.7192,-73.9524
733,343,Clinton Ave & Flushing Ave,1.08281552500517,40.6979,-73.9699
734,3616,Steinway St & 28 Ave,1.06644946008383,40.7656,-73.9137
735,253,W 13 St & 5 Ave,1.06396119950803,40.7354,-73.9945
736,252,MacDougal St & Washington Sq,1.05791431138048,40.7323,-73.9985
215,330,Reade St & Broadway,1.05692788956533,40.7145,-74.0056
216,328,Watts St & Greenwich St,1.05400483328596,40.7241,-74.0097
217,322,Clinton St & Tillary St,1.05375106166245,40.6962,-73.9912
218,525,W 34 St & 11 Ave,1.05320264561545,40.7559,-74.0021
737,267,Broadway & W 36 St,1.05003274415803,40.751,-73.9877
738,513,W 56 St & 10 Ave,1.04993540355373,40.7683,-73.9886
739,3160,Central Park West & W 76 St,1.04665810994678,40.779,-73.9737
740,3335,Union St & 4 Ave,1.04427890609743,40.6773,-73.9828
741,3223,E 55 St & 3 Ave,1.04261341753091,40.759,-73.9687
219,280,E 10 St & 5 Ave,1.03390331818645,40.7333,-73.9951
220,3323,W 106 St & Central Park West,1.03383417393522,40.7982,-73.9606
221,449,W 52 St & 9 Ave,1.03218355743768,40.7646,-73.9879
222,259,South St & Whitehall St,1.02961267858446,40.7012,-74.0123
742,3171,Amsterdam Ave & W 82 St,1.01886635230809,40.7852,-73.9767
743,423,W 54 St & 9 Ave,1.01751354868971,40.7658,-73.9869
744,3145,E 84 St & Park Ave,1.01412958529652,40.7786,-73.9577
745,3295,Central Park W & W 96 St,1.01374933846249,40.7913,-73.9648
746,225,W 14 St & The High Line,1.00564843324022,40.742,-74.008
223,3572,34 Ave & 38 St,1.00395512419047,40.7569,-73.9216
224,146,Hudson St & Reade St,1.00298006283885,40.7163,-74.0091
225,3440,Fulton St & Adams St,1.00228803234578,40.6924,-73.9895
228,3000,MLSWKiosk,1.00099165840296,40.7555,-73.9865
229,3239,Bressler,1.00099165840295,40.6465,-74.0166
230,3224,W 13 St & Hudson St,0.993878100206915,40.74,-74.0051
231,79,Franklin St & W Broadway,0.992835474300435,40.7191,-74.0067
499,510,W 51 St & 6 Ave,0.989801323324022,40.7607,-73.9804
500,3101,N 12 St & Bedford Ave,0.98979134745146,40.7208,-73.9548
501,399,Lafayette Ave & St James Pl,0.989226332767926,40.6885,-73.9648
502,3104,Kent Ave & N 7 St,0.98885924157737,40.7206,-73.9615
747,238,Bank St & Washington St,0.983757425485899,40.7362,-74.0086
748,3367,5 Ave & E 103 St,0.980570858943397,40.7923,-73.9525
749,3568,34 St & 35 Ave,0.978395494756393,40.7569,-73.9262
750,263,Elizabeth St & Hester St,0.977837331885731,40.7173,-73.9964
752,3650,8D Mobile 01,0.977308301471332,45.5059,-73.5691
753,3614,Crescent St & 30 Ave,0.97708765363159,40.7687,-73.925
754,3555,28 St & 41 Ave,0.975880539782025,40.751,-73.938
755,318,E 43 St & Vanderbilt Ave,0.975581417436031,40.7532,-73.978
232,502,Henry St & Grand St,0.973077407146423,40.7142,-73.9813
233,351,Front St & Maiden Ln,0.970608213303208,40.7053,-74.0061
234,3365,3 St & 7 Ave,0.970093413434847,40.6704,-73.9784
235,3319,14 St & 5 Ave,0.966863784022117,40.6663,-73.989
236,3403,4 Ave & 9 St,0.96578842883952,40.6705,-73.9888
756,3177,W 84 St & Broadway,0.964712721875548,40.7868,-73.9771
757,264,Maiden Ln & Pearl St,0.96447824015626,40.7071,-74.0073
758,357,E 11 St & Broadway,0.959972159444831,40.7326,-73.9916
759,3134,3 Ave & E 62 St,0.95617437731344,40.7631,-73.9653
760,3532,Ditmars Blvd & 19 St,0.954619838140679,40.7814,-73.9183
761,3414,Bergen St & Flatbush Ave,0.9538600001571,40.6809,-73.9757
762,2023,E 55 St & Lexington Ave,0.953330658212728,40.7597,-73.9703
763,3109,Banker St & Meserole Ave,0.952665527987383,40.7261,-73.9562
764,120,Lexington Ave & Classon Ave,0.952442635808001,40.6868,-73.9593
506,3151,E 81 St & York Ave,0.952313039218826,40.7728,-73.9499
507,3361,Carroll St & 6 Ave,0.951304556582792,40.6741,-73.9787
508,3304,6 Ave & 9 St,0.950988861365618,40.6681,-73.9838
509,295,Pike St & E Broadway,0.949239738862178,40.7141,-73.9929
510,369,Washington Pl & 6 Ave,0.946545481482358,40.7322,-74.0003
237,152,Warren St & Church St,0.944011152877108,40.7147,-74.0091
238,223,W 13 St & 7 Ave,0.94197830440885,40.7378,-73.9999
239,3122,48 Ave & 5 St,0.940943725268854,40.7444,-73.9559
240,3036,8D OPS 01,0.939186429446524,40.518,-74.0314
765,3238,E 80 St & 2 Ave,0.937106222625597,40.7739,-73.9544
766,376,John St & William St,0.936534300551993,40.7086,-74.0072
767,367,E 53 St & Lexington Ave,0.935734384110688,40.7583,-73.9707
768,360,William St & Pine St,0.934517374112556,40.7072,-74.0089
769,3161,W 76 St & Columbus Ave,0.932347358582606,40.7802,-73.9773
243,3102,Driggs Ave & Lorimer St,0.927381998196504,40.7218,-73.9504
244,3180,Brooklyn Bridge Park - Pier 2,0.925986547918704,40.6988,-73.9971
245,3150,E 85 St & York Ave,0.925610258022931,40.7754,-73.948
246,3364,Carroll St & 5 Ave,0.922735533317945,40.6752,-73.9815
770,397,Fulton St & Clermont Ave,0.922685572088361,40.6842,-73.9692
771,403,E 2 St & 2 Ave,0.920349125568154,40.725,-73.9907
772,3301,Columbus Ave & W 95 St,0.918936466762883,40.792,-73.9681
773,3300,Prospect Park West & 8 St,0.916552256262841,40.6651,-73.9764
774,316,Fulton St & William St,0.913268980356374,40.7096,-74.0065
247,3517,31 St & Hoyt Ave N,0.911772897744965,40.7712,-73.917
248,3103,N 11 St & Wythe Ave,0.911299321462575,40.7215,-73.9578
249,454,E 51 St & 1 Ave,0.909057455483817,40.7546,-73.9659
250,3315,Henry St & Degraw St,0.900246949012112,40.6848,-73.9992
775,232,Cadman Plaza E & Tillary St,0.898242847586916,40.696,-73.9901
776,3314,W 95 St & Broadway,0.897543020446461,40.7938,-73.9719
777,275,Washington Ave & Greene Ave,0.896895797202087,40.6865,-73.9656
778,3082,Hope St & Union Ave,0.893170791979561,40.7117,-73.9514
