,id,name,ratio,lat,lon
532,404,9 Ave & W 14 St,1.04836705328334,40.7406,-74.0055
533,3424,E 106 St & Lexington Ave,1.04798464491363,40.792,-73.946
534,3335,Union St & 4 Ave,1.04792841382692,40.6773,-73.9828
65,427,Bus Slip & State St,1.04787076668179,40.7025,-74.0143
69,310,State St & Smith St,1.04764147135592,40.6893,-73.9891
70,3233,E 48 St & 5 Ave,1.04738686895109,40.7572,-73.9781
71,3327,3 Ave & E 100 St,1.04699872286079,40.7877,-73.9473
14,459,W 20 St & 11 Ave,1.04678613155112,40.7467,-74.0078
15,352,W 56 St & 6 Ave,1.04648003731496,40.7634,-73.9772
16,3373,3 St & 3 Ave,1.04646683519923,40.6751,-73.9878
17,3495,E 114 St & 1 Ave,1.04640883977901,40.7946,-73.9363
535,3615,44 Dr & 21 St,1.04635761589404,40.748,-73.9461
536,3222,Hanson Pl & St Felix St,1.04625590694293,40.6852,-73.9771
537,3399,7 St & 3 Ave,1.04581673306773,40.6726,-73.9898
538,377,6 Ave & Canal St,1.04541666666667,40.7224,-74.0057
539,3074,Montrose Ave & Bushwick Ave,1.04533996457283,40.7077,-73.9402
72,3499,2 Ave & E 122 St,1.04525547445255,40.8007,-73.9349
73,3611,Vernon Blvd & 47 Rd,1.0450885668277,40.7449,-73.9535
74,3347,Van Brunt St & Wolcott St,1.04480672613555,40.6773,-74.0128
75,3224,W 13 St & Hudson St,1.04404438312252,40.74,-74.0051
76,3472,W 15 St & 10 Ave,1.04403940367697,40.7428,-74.0075
45,3467,W Broadway & Spring Street,1.04387157807604,40.7249,-74.0017
46,271,Ashland Pl & Hanson Pl,1.04368614872891,40.6852,-73.978
48,402,Broadway & E 22 St,1.04352179838336,40.7403,-73.9896
49,539,Metropolitan Ave & Bedford Ave,1.04343866678809,40.7153,-73.9602
427,3221,47 Ave & 31 St,1.04301632547292,40.743,-73.9356
428,426,West St & Chambers St,1.04295575271031,40.7175,-74.0132
429,3457,E 58 St & Madison Ave,1.0428333585591,40.763,-73.9721
430,147,Greenwich St & Warren St,1.04264612838857,40.7154,-74.0112
431,3312,1 Ave & E 94 St,1.04165240214538,40.7817,-73.9459
50,3561,37 Ave & 35 St,1.0414691943128,40.7531,-73.928
51,3612,30 Ave & 21 St,1.0412147505423,40.7704,-73.9286
52,484,W 44 St & 5 Ave,1.04101129717752,40.755,-73.9801
53,3647,48 Ave & 30 Pl,1.04054054054054,40.7413,-73.9373
77,515,W 43 St & 10 Ave,1.04004084831501,40.7601,-73.9946
78,3520,Adam Clayton Powell Blvd & W 118 St,1.039637599094,40.8044,-73.9515
79,382,University Pl & E 14 St,1.039558494195,40.7349,-73.992
80,3525,23 Ave & 27 St,1.03917050691244,40.7762,-73.9153
81,3401,2 Ave & 9 St,1.03898593949723,40.6725,-73.9933
808,430,York St & Jay St,1.0384348206724,40.7015,-73.9866
809,3122,48 Ave & 5 St,1.03833257125438,40.7444,-73.9559
810,3492,E 118 St & Park Ave,1.0375,40.8005,-73.942
811,3016,Mobile 01,1.03738658575721,40.7204,-73.9617
432,463,9 Ave & W 16 St,1.03710415630611,40.7421,-74.0044
433,157,Henry St & Atlantic Ave,1.03689381742676,40.6909,-73.9961
434,329,Greenwich St & N Moore St,1.03643503249192,40.7202,-74.0104
540,284,Greenwich Ave & 8 Ave,1.03605364798028,40.739,-74.0026
541,3599,Franklin Ave & Empire Blvd,1.03589375448672,40.6631,-73.9606
542,3066,Tompkins Ave & Hopkins St,1.03557655225607,40.6996,-73.9471
543,3069,Lorimer St & Broadway,1.03550365652276,40.7041,-73.9482
18,373,Willoughby Ave & Walworth St,1.0349635441095,40.6933,-73.9538
19,3527,5 Ave & E 126 St,1.03484320557491,40.807,-73.9417
20,455,1 Ave & E 44 St,1.03411046784541,40.75,-73.9691
21,3649,W 129 St & Convent Ave,1.03409090909091,40.8144,-73.9532
22,3594,Montgomery St & Franklin Ave OLD,1.03409090909091,40.6662,-73.9593
544,491,E 24 St & Park Ave S,1.03400483919202,40.741,-73.986
545,3420,Douglass St & 3 Ave,1.03381897788178,40.6802,-73.9843
546,3127,9 St & 44 Rd,1.03358098068351,40.7497,-73.9521
547,3067,Broadway & Whipple St,1.03323994851215,40.7017,-73.9437
103,3496,1 Ave & E 110 St,1.03265107212476,40.7923,-73.9383
104,3547,Broadway & Moylan Pl,1.03213844252163,40.8143,-73.959
105,530,11 Ave & W 59 St,1.03205823249628,40.7715,-73.9905
106,3554,Vernon Blvd & 41 Rd,1.03191489361702,40.7552,-73.9486
107,3390,E 109 St & 3 Ave,1.03150046598322,40.7933,-73.9432
817,3421,Hoyt St & Warren St,1.03127670483678,40.6844,-73.989
818,434,9 Ave & W 18 St,1.03099633978778,40.7432,-74.0037
819,351,Front St & Maiden Ln,1.03085626680198,40.7053,-74.0061
820,3338,2 Ave & E 99 St,1.03052928488469,40.7863,-73.9455
548,3575,Crescent St & 34 Ave,1.03040540540541,40.7611,-73.9306
549,478,11 Ave & W 41 St,1.0302146708361,40.7603,-73.9988
550,3311,Columbia St & Kane St,1.03009491473108,40.6876,-74.0016
551,168,W 18 St & 6 Ave,1.02971408674396,40.7397,-73.9946
552,3564,21 St & 36 Ave,1.02966101694915,40.7602,-73.9363
553,509,9 Ave & W 22 St,1.02943233768289,40.7455,-74.002
554,3071,Boerum St & Broadway,1.02936806223232,40.7054,-73.9498
555,336,Sullivan St & Washington Sq,1.0293397697904,40.7305,-73.9991
556,3491,E 118 St & 1 Ave,1.02927927927928,40.7975,-73.935
557,375,Mercer St & Bleecker St,1.02922008105202,40.7268,-73.997
438,300,Shevchenko Pl & E 7 St,1.02913152543073,40.7281,-73.9902
442,368,Carmine St & 6 Ave,1.0289044274166,40.7304,-74.0021
23,3257,Adventures NYC,1.02834008097166,40.7738,-73.9712
24,3417,Baltic St & 5 Ave,1.0276261483158,40.6796,-73.9785
25,279,Sands St & Gold St,1.02757213535084,40.7079,-74.0017
90,152,Warren St & Church St,1.02743868855086,40.7147,-74.0091
91,396,Lefferts Pl & Franklin Ave,1.02726213381751,40.6803,-73.9558
92,3064,Myrtle Ave & Lewis Ave,1.02722285901425,40.6968,-73.9376
93,453,W 22 St & 8 Ave,1.02717650705861,40.7448,-73.9992
443,3123,31 St & Thomson Ave,1.02712133227597,40.7447,-73.9354
444,439,E 4 St & 2 Ave,1.02706694090355,40.7263,-73.9898
445,257,Lispenard St & Broadway,1.02688163873144,40.7194,-74.0025
446,3407,Union St & Nevins St,1.0267017675818,40.6791,-73.9877
447,3621,27 Ave & 9 St,1.02659574468085,40.774,-73.9309
821,403,E 2 St & 2 Ave,1.02640257945647,40.725,-73.9907
822,3112,Milton St & Franklin St,1.02638692238383,40.7291,-73.9578
823,3237,21 St & 41 Ave,1.02638592750533,40.7538,-73.9427
824,3364,Carroll St & 5 Ave,1.02601841517857,40.6752,-73.9815
448,3419,Douglass St & 4 Ave,1.02582122552116,40.6793,-73.9815
449,265,Stanton St & Chrystie St,1.02568031536114,40.7223,-73.9915
450,3530,Crescent St & Ditmars Blvd,1.02537313432836,40.7787,-73.9146
451,128,MacDougal St & Prince St,1.02534613526063,40.7271,-74.003
452,311,Norfolk St & Broome St,1.02510015309443,40.7172,-73.988
561,3607,31 Ave & 14 St,1.0250569476082,40.7682,-73.9323
562,347,W Houston St & Hudson St,1.02417473863293,40.7287,-74.0075
566,259,South St & Whitehall St,1.02400836083183,40.7012,-74.0123
567,161,LaGuardia Pl & W 3 St,1.02391371368884,40.7292,-73.9981
568,488,W 39 St & 9 Ave,1.02381770358044,40.7565,-73.9937
569,3534,Frederick Douglass Blvd & W 117 St,1.02348008385744,40.8052,-73.9547
570,3494,E 115 St & Lexington Ave,1.02317290552585,40.7979,-73.9423
571,236,St Marks Pl & 2 Ave,1.02306432143473,40.7284,-73.9871
108,3588,Vernon Blvd & 10 St,1.02302302302302,40.7672,-73.9374
109,3455,Schermerhorn St & 3 Ave,1.02293358815098,40.6868,-73.9804
110,3504,E 123 St & Lexington Ave,1.02284527518172,40.8029,-73.9379
111,3422,Columbia St & Degraw St,1.02272054470101,40.6859,-74.0024
94,3389,Carroll St & Columbia St,1.02270331630585,40.683,-74.0035
95,477,W 41 St & 8 Ave,1.02239319407749,40.7564,-73.99
96,3613,Center Blvd & 48 Ave,1.02238805970149,40.745,-73.9575
97,3529,Lenox Ave & W 130 St,1.02221235006664,40.8108,-73.9431
98,3622,E 128 St & Madison Ave,1.02209944751381,40.8076,-73.9392
82,296,Division St & Bowery,1.02202308901375,40.7141,-73.997
83,3379,E 103 St & Lexington Ave,1.02187109444742,40.7903,-73.9476
84,3461,Murray St & Greenwich St,1.02167051396806,40.7149,-74.0112
85,358,Christopher St & Greenwich St,1.02159585917081,40.7329,-74.0071
825,464,E 56 St & 3 Ave,1.02141444629475,40.7593,-73.9676
826,408,Market St & Cherry St,1.02140545230071,40.7108,-73.994
827,3410,Dean St & Hoyt St,1.02133712660028,40.6864,-73.9876
828,3288,E 88 St & 1 Ave,1.02129582334682,40.7783,-73.9488
829,3531,Frederick Douglass Blvd & W 129 St,1.02127659574468,40.8126,-73.9492
453,306,Cliff St & Fulton St,1.02124109436661,40.7082,-74.0053
454,3425,2 Ave  & E 104 St,1.02120416301916,40.7892,-73.9437
458,3140,1 Ave & E 78 St,1.0209726443769,40.7714,-73.9535
112,3090,N 8 St & Driggs Ave,1.02085646550431,40.7177,-73.956
113,3124,46 Ave & 5 St,1.02062400846113,40.7473,-73.9545
114,2004,6 Ave & Broome St,1.02059123786355,40.7244,-74.0047
115,79,Franklin St & W Broadway,1.02058423273449,40.7191,-74.0067
116,3260,Mercer St & Bleecker St,1.02050537170076,40.7271,-73.9966
132,3565,36 Ave & 10 St,1.02049180327869,40.7614,-73.9411
133,229,Great Jones St,1.02006150180184,40.7274,-73.9938
134,3500,E 115 St & Madison Ave,1.02004716981132,40.7989,-73.9448
135,482,W 15 St & 7 Ave,1.01985557002486,40.7394,-73.9993
136,462,W 22 St & 10 Ave,1.01981805950131,40.7469,-74.0045
572,458,11 Ave & W 27 St,1.01972759030218,40.7514,-74.0052
573,3591,21 St & 31 Dr,1.01947308132875,40.7659,-73.9308
574,3474,6 Ave & Spring St,1.01906179138322,40.7253,-74.0041
575,3528,Steinway St & 23 Ave,1.01890359168242,40.7714,-73.9077
459,251,Mott St & Prince St,1.01879331728314,40.7232,-73.9948
460,3505,Lexington Ave & E 127 St,1.01869158878505,40.8057,-73.9363
461,315,South St & Gouverneur Ln,1.01860870992042,40.7036,-74.0067
462,264,Maiden Ln & Pearl St,1.01848361031577,40.7071,-74.0073
463,3524,19 St & 24 Ave,1.01807228915663,40.7775,-73.9225
830,3503,Madison Ave & E 120 St,1.01796407185629,40.803,-73.943
831,3570,35 Ave & 37 St,1.01771653543307,40.7557,-73.9237
832,237,E 11 St & 2 Ave,1.01733292930235,40.7305,-73.9867
833,3614,Crescent St & 30 Ave,1.01731601731602,40.7687,-73.925
576,3409,Bergen St & Smith St,1.01729075774203,40.6867,-73.9906
577,388,W 26 St & 10 Ave,1.01704380991299,40.7497,-74.003
578,470,W 20 St & 8 Ave,1.01677674254039,40.7435,-74
579,3339,Berkeley Pl & 6 Ave,1.01666666666667,40.6765,-73.9785
580,3263,Cooper Square & Astor Pl,1.01663381349507,40.7295,-73.9908
117,3400,E 110 St & Madison Ave,1.01653822354728,40.7962,-73.9478
118,317,E 6 St & Avenue B,1.01624467921603,40.7245,-73.9819
119,3397,Court St & Nelson St,1.01603153745072,40.6764,-73.9987
584,3526,31 St & 23 Ave,1.01581632653061,40.7748,-73.9126
585,405,Washington St & Gansevoort St,1.01576869067604,40.7393,-74.0081
586,473,Rivington St & Chrystie St,1.01553029981044,40.7211,-73.9919
587,3093,N 6 St & Bedford Ave,1.01530534544901,40.7175,-73.9585
588,372,Franklin Ave & Myrtle Ave,1.01523407094407,40.6945,-73.9581
128,355,Bayard St & Baxter St,1.01518976227583,40.716,-73.9997
129,454,E 51 St & 1 Ave,1.01518352906491,40.7546,-73.9659
130,3125,45 Rd & 11 St,1.01515011972739,40.7471,-73.9498
131,3577,34 Ave & 21 St,1.01510574018127,40.7628,-73.9343
165,3388,President St & Henry St,1.0150068212824,40.6828,-73.9999
166,3510,Adam Clayton Powell Blvd & W 123 St,1.01494696239151,40.8078,-73.9494
167,346,Bank St & Hudson St,1.01488983836096,40.7365,-74.0062
168,3377,Carroll St & Bond St,1.01487572761711,40.6786,-73.9904
169,3332,Degraw St & Hoyt St,1.01466118362238,40.682,-73.9908
183,3568,34 St & 35 Ave,1.01407506702413,40.7569,-73.9262
184,3556,24 St & 41 Ave,1.0140712945591,40.7527,-73.9397
185,3062,Myrtle Ave & Marcy Ave,1.01406147809026,40.6954,-73.9495
186,308,St James Pl & Oliver St,1.01403422236315,40.7131,-73.9985
834,3129,Queens Plaza North & Crescent St,1.01402760632926,40.7511,-73.9407
835,410,Suffolk St & Stanton St,1.01401409650005,40.7207,-73.9852
836,261,Johnson St & Gold St,1.0139612419254,40.6947,-73.9836
837,3469,India St & West St,1.01381074168798,40.7318,-73.96
838,3368,5 Ave & 3 St,1.01373761161809,40.6728,-73.9835
86,3427,Lafayette St & Jersey St,1.01368184121522,40.7243,-73.996
87,3092,Berry St & N 8 St,1.01360416274842,40.719,-73.9585
88,3387,E 106 St & Madison Ave,1.01358469642362,40.7934,-73.9495
89,3088,Union Ave & Jackson St,1.01354926124266,40.7161,-73.952
464,537,Lexington Ave & E 24 St,1.013547890168,40.7403,-73.9841
465,3079,Leonard St & Grand St,1.01338887235942,40.711,-73.9471
466,297,E 15 St & 3 Ave,1.01331479036234,40.7342,-73.9869
467,353,S Portland Ave & Hanson Pl,1.01311525999074,40.6854,-73.9743
468,3255,8 Ave & W 31 St,1.01309739825641,40.7506,-73.9947
839,3181,Soissons Landing,1.01302521008403,40.6926,-74.0164
840,3497,Pleasant Ave & E 116 St,1.01302325581395,40.795,-73.9333
841,3597,43 St & Broadway,1.01300108342362,40.7577,-73.9166
842,3085,Roebling St & N 4 St,1.01298972516916,40.7147,-73.9574
590,3265,E 2 St & 2 Ave E,1.01284158619273,40.7246,-73.9894
594,3537,Carlton Ave & Dean St,1.01273885350318,40.681,-73.971
595,3508,St Nicholas Ave & Manhattan Ave,1.01247987117552,40.8097,-73.9531
596,3486,Schermerhorn St & Bond St,1.01244343891403,40.6884,-73.9845
137,3115,India St & Manhattan Ave,1.01225967284773,40.7323,-73.9551
138,2009,Catherine St & Monroe St,1.01219731437817,40.7112,-73.9968
139,305,E 58 St & 3 Ave,1.0120566731756,40.761,-73.9672
140,3258,W 27 St & 10 Ave,1.01196525644056,40.7502,-74.0022
141,3318,2 Ave & E 96 St,1.01193847520684,40.784,-73.9472
843,3117,Franklin St & Dupont St,1.01170593133173,40.7356,-73.9587
844,460,S 4 St & Wythe Ave,1.01142646516771,40.7129,-73.9659
845,301,E 2 St & Avenue B,1.01141988810352,40.7222,-73.9837
846,3109,Banker St & Meserole Ave,1.01132426895139,40.7261,-73.9562
469,3374,Central Park North & Adam Clayton Powell Blvd,1.01123404255319,40.7995,-73.9556
470,127,Barrow St & Hudson St,1.01108284810712,40.7317,-74.0067
471,384,Fulton St & Washington Ave,1.01105897430597,40.683,-73.9649
475,3305,E 91 St & 2 Ave,1.0110480016624,40.7811,-73.9497
597,250,Lafayette St & Jersey St N,1.0109905279003,40.7246,-73.9957
601,3493,E 118 St & 3 Ave,1.01095890410959,40.7991,-73.9389
602,323,Lawrence St & Willoughby St,1.01095148261017,40.6924,-73.9863
187,3513,21 St & Hoyt Ave S,1.01091703056769,40.7746,-73.9237
188,3511,Adam Clayton Powell Blvd & W 115 St,1.01081081081081,40.8025,-73.9532
189,228,E 48 St & 3 Ave,1.01080353505836,40.7546,-73.9719
190,483,E 12 St & 3 Ave,1.01076790577501,40.7322,-73.9889
191,3242,Schermerhorn St & Court St,1.01071723000824,40.691,-73.9918
99,3315,Henry St & Degraw St,1.0105274184256,40.6848,-73.9992
100,435,W 21 St & 6 Ave,1.01037387970402,40.7417,-73.9942
101,431,Hanover Pl & Livingston St,1.01031636863824,40.6886,-73.9826
102,3381,3 St & Hoyt St,1.01030524393426,40.6777,-73.9936
476,502,Henry St & Grand St,1.01018155053975,40.7142,-73.9813
477,328,Watts St & Greenwich St,1.01003751093451,40.7241,-74.0097
478,3411,Bond St & Bergen St,1.00989296140123,40.685,-73.9862
479,3501,E 118 St & Madison Ave,1.00988875154512,40.8015,-73.9443
480,438,St Marks Pl & 1 Ave,1.00987707679205,40.7278,-73.9856
120,3532,Ditmars Blvd & 19 St,1.00969827586207,40.7814,-73.9183
121,3103,N 11 St & Wythe Ave,1.00951728031617,40.7215,-73.9578
122,3072,Leonard St & Boerum St,1.00948266779054,40.7058,-73.9464
123,238,Bank St & Washington St,1.00942528735632,40.7362,-74.0086
603,116,W 17 St & 8 Ave,1.00942514519001,40.7418,-74.0015
604,448,W 37 St & 10 Ave,1.00940314820166,40.7566,-73.9979
605,3157,East End Ave & E 86 St,1.00934386453978,40.7752,-73.9445
606,496,E 16 St & 5 Ave,1.00927253608642,40.7373,-73.9924
607,3113,Greenpoint Ave & Manhattan Ave,1.00918871101219,40.7303,-73.9539
847,440,E 45 St & 3 Ave,1.00915189228118,40.7526,-73.9728
848,3522,37 St & 24 Ave,1.00907715582451,40.7701,-73.9121
849,411,E 6 St & Avenue D,1.00899921310537,40.7223,-73.9767
850,3173,Riverside Blvd & W 67 St,1.00886513157895,40.7775,-73.9889
608,247,Perry St & Bleecker St,1.00880855944658,40.7354,-74.0048
609,3166,Riverside Dr & W 72 St,1.00880591092046,40.7806,-73.9856
613,268,Howard St & Centre St,1.00853266736905,40.7191,-73.9997
614,254,W 11 St & 6 Ave,1.00841760144407,40.7353,-73.998
481,3509,Lenox Ave & W 115 St,1.008400420021,40.8012,-73.9501
482,3458,W 55 St & 6 Ave,1.00836927831069,40.7631,-73.9784
483,3490,E 116 St & 2 Ave,1.00810185185185,40.7969,-73.9373
484,3132,E 59 St & Madison Ave,1.0080519236196,40.7635,-73.9711
851,3259,9 Ave & W 28 St,1.00790287686174,40.7494,-73.9992
852,3372,E 74 St & 1 Ave,1.00778336306146,40.769,-73.9548
853,3351,E 102 St & 1 Ave,1.00775442537034,40.787,-73.9416
854,3462,E 44 St & 2 Ave,1.00766016713092,40.7512,-73.9714
855,3518,Lenox Ave & W 126 St,1.00765217391304,40.8084,-73.9452
192,3107,Bedford Ave & Nassau Ave,1.00764865531705,40.7231,-73.9521
193,3553,Frederick Douglass Blvd & W 112 St,1.00759318913944,40.8017,-73.9571
194,280,E 10 St & 5 Ave,1.00745481601341,40.7333,-73.9951
195,3404,7 St & 5 Ave,1.00741198270537,40.6705,-73.9854
196,3119,Vernon Blvd & 50 Ave,1.00721896899299,40.7423,-73.9541
161,3116,Huron St & Franklin St,1.00681922035924,40.7327,-73.9583
162,212,W 16 St & The High Line,1.00681391367935,40.7433,-74.0068
163,417,Barclay St & Church St,1.00672434257141,40.7129,-74.0102
164,2012,E 27 St & 1 Ave,1.00667967405027,40.7394,-73.9768
170,494,W 26 St & 8 Ave,1.00661257494405,40.7473,-73.9972
171,3489,Gold St & Frankfort St,1.006394707828,40.7107,-74.0035
172,72,W 52 St & 11 Ave,1.00625608907446,40.7673,-73.9939
173,461,E 20 St & 2 Ave,1.00619374582738,40.7359,-73.9821
174,3476,Norman Ave & Leonard St,1.00611136260751,40.7258,-73.9507
615,3002,South End Ave & Liberty St,1.00606895281792,40.7115,-74.0158
616,466,W 25 St & 6 Ave,1.00599538106236,40.744,-73.9914
617,3151,E 81 St & York Ave,1.00590282252868,40.7728,-73.9499
618,380,W 4 St & 7 Ave S,1.00590268406711,40.734,-74.0029
619,354,Emerson Pl & Myrtle Ave,1.00573528592906,40.6936,-73.9622
620,151,Cleveland Pl & Spring St,1.00572763216145,40.7221,-73.9972
622,3447,E 71 St & 1 Ave,1.00570331779545,40.767,-73.9562
623,294,Washington Square E,1.00566504601493,40.7305,-73.9957
624,3382,Carroll St & Smith St,1.00563954314961,40.6806,-73.9948
175,253,W 13 St & 5 Ave,1.00547395891348,40.7354,-73.9945
176,531,Forsyth St & Broome St,1.00543197102949,40.7189,-73.9927
177,3179,Park Ave & Marcus Garvey Blvd,1.00532601678502,40.6986,-73.9413
178,3369,E 82 St & East End Ave,1.00529400642844,40.7725,-73.9468
744,3514,Astoria Park S & Shore Blvd,1.00528169014085,40.7767,-73.9276
745,223,W 13 St & 7 Ave,1.00527813160243,40.7378,-73.9999
746,536,1 Ave & E 30 St,1.00522741147741,40.7414,-73.9754
747,3413,Wyckoff St & 3 Ave,1.00499445061043,40.6828,-73.9826
748,3308,Kane St & Clinton St,1.00480970305312,40.6862,-73.9965
856,3415,Prospect Pl & 6 Ave,1.00471475719,40.6793,-73.9752
857,3441,10 Hudson Yards,1.0046674445741,40.753,-74.0026
858,495,W 47 St & 10 Ave,1.00465005121202,40.7627,-73.993
859,249,Harrison St & Hudson St,1.00450672844429,40.7187,-74.009
625,3428,8 Ave & W 16 St,1.00441321642181,40.741,-74.0017
626,3319,14 St & 5 Ave,1.00440752669944,40.6663,-73.989
627,394,E 9 St & Avenue C,1.004376606637,40.7252,-73.9777
628,395,Bond St & Schermerhorn St,1.00435161009574,40.6881,-73.9841
629,3096,Union Ave & N 12 St,1.00432715948205,40.7192,-73.9524
363,302,Avenue D & E 3 St,1.00424859894065,40.7208,-73.9779
